roll,pitch,thumb,pointer,middle,ax,ay,az,sign
84.23,49.30,117,174,253,-7.25,6.21,0.63,thumbdown
84.26,46.03,116,170,253,-7.59,7.29,0.73,thumbdown
83.48,47.68,114,172,253,-7.94,7.18,0.82,thumbdown
85.33,48.98,116,173,253,-9.09,7.88,0.64,thumbdown
81.36,48.24,117,174,253,-8.77,7.74,1.18,thumbdown
81.44,46.28,119,173,251,-7.18,6.79,1.02,thumbdown
81.95,36.12,120,174,253,-5.85,7.94,1.12,thumbdown
82.02,36.83,120,174,253,-5.22,6.90,0.97,thumbdown
81.46,35.37,121,175,253,-5.16,7.19,1.08,thumbdown
81.54,35.70,124,177,253,-5.13,7.07,1.05,thumbdown
82.50,23.18,127,174,253,-3.97,9.20,1.21,thumbdown
80.80,22.33,122,174,253,-4.38,10.52,1.70,thumbdown
79.50,24.63,123,174,253,-4.30,9.22,1.71,thumbdown
81.34,28.56,122,173,253,-4.82,8.76,1.33,thumbdown
80.52,41.96,121,172,253,-5.80,6.37,1.06,thumbdown
81.88,42.54,117,172,253,-5.97,6.44,0.92,thumbdown
85.55,46.13,116,173,253,-6.71,6.43,0.50,thumbdown
90.54,51.66,117,172,253,-8.61,6.81,-0.06,thumbdown
99.68,64.03,118,173,253,-10.79,5.18,-0.88,thumbdown
117.88,73.44,117,174,254,-10.23,2.69,-1.42,thumbdown
102.33,62.27,113,174,253,-9.92,5.09,-1.11,thumbdown
91.53,64.82,111,173,253,-8.57,4.03,-0.11,thumbdown
82.71,44.76,109,172,254,-6.85,6.85,0.88,thumbdown
86.76,18.41,108,171,253,-3.34,10.03,0.57,thumbdown
94.62,59.12,115,173,254,-8.20,4.88,-0.40,thumbdown
98.51,61.52,114,173,253,-8.53,4.58,-0.68,thumbdown
107.07,65.91,115,173,253,-8.98,3.84,-1.18,thumbdown
101.49,66.37,116,173,253,-9.10,3.90,-0.79,thumbdown
95.11,55.57,117,174,253,-8.51,5.81,-0.52,thumbdown
89.54,51.48,118,173,253,-7.91,6.30,0.05,thumbdown
87.97,65.40,118,174,255,-8.70,3.98,0.14,thumbdown
89.08,57.46,116,173,253,-8.85,5.65,0.09,thumbdown
90.92,50.68,117,173,253,-7.66,6.28,-0.10,thumbdown
87.60,47.42,117,175,253,-6.86,6.29,0.26,thumbdown
83.26,61.28,118,175,253,-8.04,4.38,0.52,thumbdown
80.61,52.83,116,176,253,-7.84,5.86,0.97,thumbdown
74.61,53.99,116,176,253,-7.83,5.49,1.51,thumbdown
73.50,48.99,119,175,253,-7.27,6.06,1.80,thumbdown
75.30,48.43,122,174,253,-7.33,6.29,1.65,thumbdown
77.58,46.02,121,176,253,-7.22,6.80,1.50,thumbdown
83.66,48.80,122,175,253,-6.91,6.01,0.67,thumbdown
85.18,47.93,122,175,253,-6.88,6.19,0.52,thumbdown
87.69,48.02,122,175,253,-6.35,5.71,0.23,thumbdown
85.52,31.62,121,175,253,-5.62,9.10,0.71,thumbdown
83.62,31.95,121,175,253,-5.94,9.46,1.06,thumbdown
84.35,38.52,119,175,253,-6.09,7.62,0.75,thumbdown
82.73,46.15,131,175,253,-6.52,6.21,0.79,thumbdown
80.25,46.62,131,176,253,-8.08,7.52,1.29,thumbdown
80.85,45.47,131,175,253,-8.14,7.91,1.27,thumbdown
75.46,49.48,131,175,253,-8.13,6.73,1.75,thumbdown
80.33,39.11,132,175,253,-6.20,7.52,1.28,thumbdown
72.00,41.11,130,175,253,-6.60,7.19,2.34,thumbdown
76.96,37.76,143,175,253,-6.06,7.62,1.76,thumbdown
78.90,37.90,140,174,255,-5.73,7.23,1.42,thumbdown
82.47,34.32,139,175,253,-5.58,8.10,1.07,thumbdown
83.05,39.94,117,175,253,-5.32,6.30,0.77,thumbdown
84.35,37.72,119,175,253,-5.94,7.64,0.76,thumbdown
88.15,42.82,100,175,253,-6.19,6.68,0.22,thumbdown
86.63,44.93,89,175,253,-6.82,6.83,0.40,thumbdown
87.61,44.03,93,175,253,-6.66,6.88,0.29,thumbdown
88.04,43.08,98,176,253,-6.56,7.01,0.24,thumbdown
90.26,41.26,100,175,253,-6.36,7.25,-0.03,thumbdown
90.27,42.78,100,174,253,-6.61,7.14,-0.03,thumbdown
90.06,43.29,99,177,253,-6.55,6.95,-0.01,thumbdown
89.68,43.94,88,174,253,-6.56,6.81,0.04,thumbdown
86.60,43.80,87,174,253,-6.81,7.08,0.42,thumbdown
90.83,44.51,87,174,250,-6.67,6.79,-0.10,thumbdown
90.13,44.38,88,174,253,-7.07,7.22,-0.02,thumbdown
91.60,40.88,90,174,253,-6.39,7.37,-0.21,thumbdown
89.98,40.02,100,174,252,-6.02,7.17,0.00,thumbdown
86.15,38.34,106,174,253,-5.76,7.26,0.49,thumbdown
83.69,33.58,106,174,253,-5.40,8.08,0.89,thumbdown
85.74,42.86,107,173,253,-7.42,7.98,0.59,thumbdown
88.76,49.62,107,175,253,-7.81,6.64,0.14,thumbdown
93.32,43.17,106,175,253,-6.32,6.73,-0.39,thumbdown
90.12,37.62,110,176,253,-6.21,8.06,-0.02,thumbdown
84.52,46.81,110,175,253,-6.95,6.49,0.62,thumbdown
87.63,60.82,111,175,253,-9.01,5.03,0.21,thumbdown
95.41,63.65,115,175,253,-9.03,4.45,-0.42,thumbdown
96.06,57.39,115,175,253,-8.23,5.24,-0.56,thumbdown
94.71,52.54,119,176,253,-7.73,5.90,-0.49,thumbdown
90.84,52.82,124,177,253,-8.17,6.20,-0.09,thumbdown
90.13,49.09,135,177,253,-7.51,6.51,-0.01,thumbdown
90.82,44.67,147,176,253,-6.81,6.89,-0.10,thumbdown
87.59,44.55,147,179,253,-7.01,7.11,0.30,thumbdown
89.20,48.20,158,209,253,-7.33,6.55,0.09,thumbdown
91.13,43.06,158,215,253,-6.56,7.02,-0.14,thumbdown
93.85,43.33,157,209,253,-6.49,6.86,-0.46,thumbdown
91.68,47.30,157,209,252,-7.09,6.54,-0.19,thumbdown
90.33,47.50,156,214,253,-7.23,6.62,-0.04,thumbdown
88.61,47.12,156,205,253,-7.04,6.53,0.16,thumbdown
90.44,48.33,147,206,253,-7.33,6.52,-0.05,thumbdown
99.40,52.64,151,207,253,-7.78,5.86,-0.97,thumbdown
89.39,49.43,127,204,253,-7.65,6.55,0.07,thumbdown
89.30,45.10,120,207,253,-6.90,6.87,0.08,thumbdown
88.52,43.84,120,207,253,-7.12,7.41,0.19,thumbdown
85.30,43.10,122,205,253,-6.90,7.35,0.60,thumbdown
86.14,40.98,122,207,251,-6.49,7.45,0.50,thumbdown
89.39,42.95,122,206,255,-6.24,6.70,0.07,thumbdown
90.23,50.57,120,205,253,-6.60,5.42,-0.02,thumbdown
87.92,51.71,122,206,254,-6.94,5.48,0.20,thumbdown
92.32,56.09,122,206,253,-8.10,5.44,-0.22,thumbdown
99.13,56.51,124,206,253,-7.20,4.71,-0.76,thumbdown
94.12,60.61,123,207,254,-9.87,5.54,-0.40,thumbdown
92.98,58.01,124,207,253,-8.99,5.61,-0.29,thumbdown
90.84,56.09,125,207,253,-8.74,5.88,-0.09,thumbdown
89.92,55.21,125,208,253,-7.74,5.38,0.01,thumbdown
88.46,52.84,125,207,253,-7.76,5.88,0.16,thumbdown
87.16,52.82,127,207,253,-7.65,5.79,0.29,thumbdown
86.68,50.65,127,205,253,-7.41,6.06,0.35,thumbdown
88.37,55.22,127,207,253,-8.00,5.55,0.16,thumbdown
88.30,56.56,126,205,253,-8.08,5.33,0.16,thumbdown
86.16,57.58,126,184,252,-8.54,5.42,0.36,thumbdown
81.16,58.34,126,164,253,-8.41,5.12,0.80,thumbdown
81.74,55.27,119,150,253,-8.18,5.61,0.81,thumbdown
96.68,42.21,123,151,253,-6.23,6.83,-0.80,thumbdown
117.42,60.86,154,114,253,-8.71,4.31,-2.24,thumbdown
115.42,59.03,150,115,253,-8.59,4.65,-2.21,thumbdown
114.92,59.90,153,118,253,-8.51,4.47,-2.08,thumbdown
115.34,59.15,153,119,253,-8.37,4.52,-2.14,thumbdown
123.51,63.34,153,121,253,-8.73,3.66,-2.42,thumbdown
120.40,59.10,153,124,253,-8.48,4.38,-2.57,thumbdown
114.07,62.64,152,131,253,-8.66,4.09,-1.83,thumbdown
100.59,56.92,151,134,253,-8.36,5.35,-1.00,thumbdown
95.30,57.80,151,154,253,-8.53,5.35,-0.50,thumbdown
92.69,60.99,150,155,253,-8.38,4.64,-0.22,thumbdown
92.98,53.70,150,155,253,-7.39,5.42,-0.28,thumbdown
92.49,48.97,149,155,253,-7.30,6.34,-0.28,thumbdown
116.39,63.40,170,152,253,-9.10,4.08,-2.03,thumbdown
110.48,49.07,171,153,253,-7.27,5.90,-2.21,thumbdown
101.92,57.12,177,152,253,-8.97,5.67,-1.20,thumbdown
112.10,59.79,185,152,253,-7.66,4.13,-1.68,thumbdown
109.49,60.69,185,153,253,-8.50,4.50,-1.59,thumbdown
114.65,67.15,177,153,253,-9.05,3.46,-1.59,thumbdown
107.34,51.18,179,153,253,-8.08,6.20,-1.94,thumbdown
113.61,64.37,189,153,253,-9.12,4.01,-1.75,thumbdown
159.75,75.40,190,152,255,-9.45,0.85,-2.31,thumbdown
114.15,67.58,190,155,253,-8.99,3.39,-1.52,thumbdown
97.46,52.74,190,155,210,-8.12,6.12,-0.80,thumbdown
116.61,64.16,191,155,210,-8.24,3.57,-1.79,thumbdown
100.30,46.48,193,155,212,-6.97,6.51,-1.18,thumbdown
98.93,50.38,192,156,253,-8.09,6.61,-1.04,thumbdown
107.17,54.34,193,155,253,-8.00,5.49,-1.70,thumbdown
115.99,57.07,192,155,253,-7.92,4.61,-2.25,thumbdown
113.52,48.79,192,156,253,-7.50,6.02,-2.62,thumbdown
108.41,50.44,191,156,253,-7.56,5.93,-1.97,thumbdown
-97.28,-13.84,253,253,30,2.41,-9.72,-1.24,point
-95.99,-9.59,252,254,33,1.72,-10.11,-1.06,point
-96.23,-10.61,253,253,33,1.83,-9.71,-1.06,point
-96.52,-11.40,253,253,34,1.96,-9.65,-1.10,point
-95.83,-9.32,250,248,34,1.58,-9.60,-0.98,point
-96.27,-5.57,255,253,34,1.01,-10.30,-1.13,point
-97.37,-1.98,253,255,35,0.37,-10.63,-1.37,point
-97.58,0.28,253,253,36,-0.06,-11.45,-1.53,point
-97.23,-1.76,250,248,36,0.32,-10.19,-1.29,point
-96.61,-4.44,253,253,37,0.78,-9.92,-1.15,point
-94.92,-6.33,253,253,38,1.01,-9.10,-0.78,point
-92.97,-10.27,253,253,40,1.46,-8.03,-0.42,point
-94.58,-17.45,253,253,40,2.31,-7.32,-0.59,point
-91.66,-29.10,253,254,41,3.73,-6.69,-0.19,point
-73.14,-54.72,253,254,42,5.54,-3.75,1.14,point
-77.12,-46.92,253,253,42,6.80,-6.20,1.42,point
-70.85,-38.64,252,253,42,6.72,-7.93,2.76,point
-74.12,-37.39,253,253,42,6.91,-8.69,2.47,point
-74.04,-31.70,255,252,43,6.14,-9.56,2.73,point
-67.65,-30.54,254,255,43,5.80,-9.10,3.74,point
-63.82,-29.00,243,253,43,5.11,-8.27,4.07,point
-63.81,-27.14,253,253,42,5.36,-9.39,4.62,point
-61.57,0.31,253,252,50,-0.06,-10.39,5.63,point
-59.60,-3.54,253,253,51,0.65,-9.01,5.29,point
-50.42,-10.15,250,248,51,1.72,-7.42,6.13,point
-49.45,-16.69,253,253,50,3.11,-7.89,6.75,point
-52.68,-32.67,252,253,49,4.61,-5.72,4.36,point
-37.00,-44.13,253,253,49,7.14,-4.43,5.88,point
25.58,-70.72,253,253,50,12.95,1.96,4.09,point
-29.84,-10.73,254,253,45,1.92,-5.04,8.78,point
-3.04,-59.18,255,252,42,9.22,-0.29,5.49,point
8.57,-38.18,251,253,41,6.70,1.27,8.42,point
-45.02,0.22,253,253,56,-0.04,-8.03,8.03,point
-48.61,-5.70,253,253,56,1.19,-8.94,7.88,point
-51.66,-16.56,251,251,56,3.26,-8.59,6.79,point
-53.30,-19.23,253,253,54,4.21,-9.67,7.21,point
-38.07,-7.57,253,253,55,1.62,-7.53,9.62,point
-30.28,-3.14,253,253,57,0.51,-4.74,8.11,point
-59.06,7.45,253,253,59,-1.08,-7.10,4.26,point
-59.93,-5.66,253,253,59,0.86,-7.55,4.37,point
-60.35,-7.75,253,253,59,1.28,-8.18,4.66,point
-103.73,-21.01,247,253,54,3.36,-8.50,-2.08,point
-106.54,-21.80,253,253,57,3.03,-7.26,-2.16,point
-108.76,-15.78,254,255,60,2.29,-7.68,-2.61,point
-110.53,-11.42,253,253,61,1.78,-8.26,-3.09,point
-110.12,0.15,253,253,62,-0.03,-9.69,-3.55,point
-114.30,10.72,253,251,61,-2.25,-10.81,-4.88,point
-117.41,13.14,253,251,60,-2.82,-10.73,-5.57,point
-73.45,-31.83,253,254,49,5.90,-9.11,2.71,point
-64.23,-28.88,253,253,51,5.00,-8.16,3.94,point
-62.77,-27.75,253,253,51,4.76,-8.05,4.14,point
-62.16,-25.14,253,253,52,4.12,-7.76,4.10,point
-58.52,-24.99,252,253,51,4.47,-8.18,5.01,point
-52.01,-28.78,253,253,52,5.14,-7.38,5.76,point
-53.12,-27.24,253,253,53,4.93,-7.66,5.75,point
-49.99,-26.48,253,253,52,4.50,-6.92,5.81,point
-49.92,-22.93,253,253,52,4.00,-7.24,6.09,point
-40.84,-25.04,255,252,52,4.28,-5.99,6.93,point
-37.61,-19.96,253,251,51,3.47,-5.83,7.57,point
-38.69,-15.49,253,255,51,2.77,-6.25,7.81,point
-41.29,-16.97,253,253,48,3.25,-7.03,8.01,point
-33.90,-11.69,253,253,47,2.06,-5.54,8.25,point
-31.92,-11.79,253,253,43,1.97,-4.99,8.01,point
-30.04,-11.14,253,253,31,1.71,-4.34,7.50,point
-34.28,-5.12,253,251,30,0.84,-5.30,7.78,point
-38.43,-7.93,252,255,28,1.35,-6.00,7.57,point
-39.12,-8.06,253,253,31,1.38,-6.15,7.56,point
-36.42,-10.60,253,252,35,1.79,-5.66,7.68,point
-39.78,-10.42,253,253,35,1.77,-6.17,7.41,point
-32.64,-13.75,254,253,37,2.22,-4.90,7.65,point
-39.42,-9.02,251,255,38,1.52,-6.06,7.38,point
-26.26,-11.82,252,253,40,1.72,-3.64,7.38,point
-37.10,-6.90,253,251,40,1.16,-5.77,7.63,point
-41.78,-6.79,253,254,40,1.24,-6.94,7.77,point
-43.56,-6.53,254,253,40,1.22,-7.35,7.73,point
-35.17,-10.65,253,253,41,1.62,-4.95,7.03,point
-42.14,-2.86,253,253,41,0.46,-6.22,6.87,point
-42.67,-5.80,253,255,42,0.90,-5.98,6.48,point
-43.28,-4.65,253,252,41,0.83,-7.02,7.46,point
-41.74,-8.21,253,253,40,1.40,-6.44,7.22,point
-45.52,-10.86,255,253,33,1.69,-6.29,6.18,point
-48.27,-9.01,253,252,30,1.56,-7.35,6.56,point
-44.53,-9.43,253,253,29,1.73,-7.30,7.42,point
-39.64,-14.48,253,251,28,2.44,-6.04,7.29,point
-41.82,-9.82,252,252,28,1.79,-6.89,7.70,point
-44.82,-7.80,253,249,29,1.21,-6.24,6.28,point
-65.67,-13.39,253,253,45,2.40,-9.20,4.16,point
-62.20,-2.41,255,255,45,0.30,-6.39,3.37,point
-53.44,24.11,253,253,44,-2.15,-3.85,2.86,point
-46.99,-41.42,253,252,43,7.77,-6.44,6.01,point
-41.25,-40.47,252,251,43,7.01,-5.41,6.17,point
-40.98,-35.51,253,253,43,5.89,-5.42,6.23,point
-32.14,-16.63,253,253,51,2.93,-5.22,8.31,point
-64.85,-13.05,252,252,61,2.20,-8.60,4.04,point
-68.92,-10.98,253,253,61,1.87,-8.99,3.47,point
-73.21,-14.56,253,253,56,2.35,-8.67,2.61,point
-76.93,-14.12,253,253,57,2.38,-9.20,2.14,point
-80.20,-14.16,253,253,56,2.40,-9.37,1.62,point
-82.04,-17.40,253,253,55,3.00,-9.47,1.32,point
-84.25,-20.70,253,253,55,3.43,-9.03,0.91,point
-88.74,-23.66,253,253,55,4.02,-9.16,0.20,point
-92.90,-18.07,253,253,56,3.23,-9.89,-0.50,point
-130.02,-8.17,253,253,71,1.30,-6.91,-5.80,point
-121.22,-7.57,253,253,70,1.36,-8.72,-5.28,point
-124.29,-12.60,247,253,69,1.98,-7.33,-5.00,point
-129.91,-19.71,253,253,68,2.60,-5.57,-4.66,point
-126.41,-24.43,253,251,69,3.25,-5.76,-4.24,point
-119.89,-13.63,253,253,71,2.10,-7.50,-4.31,point
-113.16,-14.28,254,255,70,2.40,-8.68,-3.71,point
-102.95,-19.87,252,253,70,3.51,-9.48,-2.18,point
-105.75,-24.49,252,253,71,4.27,-9.03,-2.55,point
-103.33,-23.71,253,253,70,4.37,-9.68,-2.29,point
-116.91,-36.47,253,252,75,5.88,-7.09,-3.60,point
-113.83,-23.41,253,254,72,4.51,-9.53,-4.21,point
-116.69,-15.24,253,253,72,2.90,-9.50,-4.78,point
-113.53,-13.70,253,253,75,2.76,-10.39,-4.52,point
-111.82,-8.53,253,253,74,1.71,-10.61,-4.25,point
-110.99,-3.21,253,253,75,0.64,-10.61,-4.07,point
-113.84,-0.59,253,253,75,0.11,-9.34,-4.13,point
-114.67,-5.41,253,252,74,0.89,-8.50,-3.90,point
-113.71,-14.75,253,253,69,2.78,-9.67,-4.24,point
-120.09,-17.01,255,253,68,3.08,-8.71,-5.05,point
-124.54,-21.47,253,253,71,3.28,-6.87,-4.73,point
-125.18,-19.34,252,255,71,2.77,-6.44,-4.54,point
-119.35,-16.36,251,253,67,2.58,-7.65,-4.30,point
-114.94,-6.00,253,252,71,1.11,-9.59,-4.46,point
-115.37,6.00,253,253,74,-0.69,-5.97,-2.83,point
-113.86,10.71,253,255,69,-1.61,-7.77,-3.44,point
-107.46,15.83,253,253,68,-3.00,-10.10,-3.17,point
-108.56,20.46,253,253,64,-4.71,-11.97,-4.02,point
-111.54,20.48,253,253,62,-4.97,-12.38,-4.89,point
-113.01,17.50,253,253,59,-3.31,-9.67,-4.11,point
-129.33,9.84,253,255,57,-1.48,-6.60,-5.41,point
-129.97,10.39,253,253,56,-1.64,-6.87,-5.76,point
-135.34,-2.82,253,253,53,0.38,-5.40,-5.46,point
-145.57,-10.48,252,253,48,1.32,-4.05,-5.90,point
-136.50,-2.68,253,252,48,0.41,-6.10,-6.42,point
-129.49,5.09,253,255,49,-0.85,-7.35,-6.05,point
-131.18,-7.97,253,253,52,1.17,-6.27,-5.49,point
-125.40,-9.52,253,253,55,1.36,-6.62,-4.70,point
-116.95,-13.03,253,253,54,1.88,-7.23,-3.68,point
-106.05,-19.77,246,253,56,2.84,-7.60,-2.19,point
-92.07,-25.79,253,253,56,3.94,-8.15,-0.29,point
-82.68,-29.68,253,253,57,4.61,-8.02,1.03,point
-66.07,-22.03,253,253,68,3.91,-8.84,3.92,point
-61.31,-28.00,253,253,63,5.06,-8.34,4.57,point
-57.46,-31.09,253,253,63,5.14,-7.19,4.59,point
-52.18,-30.06,253,254,62,4.83,-6.59,5.12,point
-55.18,-27.13,252,253,62,4.57,-7.33,5.09,point
-45.48,-29.43,252,254,62,5.21,-6.58,6.47,point
-47.19,-27.40,255,253,62,5.23,-7.41,6.86,point
-44.06,-24.55,253,253,62,4.78,-7.28,7.52,point
-40.30,-19.64,255,253,62,3.79,-6.87,8.10,point
-38.97,-16.79,253,253,63,3.12,-6.50,8.03,point
-39.56,-12.84,253,254,66,2.49,-6.96,8.43,point
-39.10,-18.60,253,247,64,3.42,-6.41,7.89,point
-30.67,-17.97,255,253,64,2.86,-4.50,7.59,point
-25.59,-3.59,252,251,67,0.51,-3.55,7.41,point
-46.91,10.54,253,253,67,-1.97,-7.72,7.22,point
-44.96,8.31,253,253,67,-1.57,-7.60,7.61,point
-42.48,0.20,253,254,66,-0.04,-7.33,8.00,point
-43.62,-3.81,255,253,66,0.81,-8.36,8.77,point
-45.32,-10.71,253,253,65,2.32,-8.73,8.64,point
-44.17,-17.79,253,253,65,3.61,-7.83,8.06,point
-95.43,-6.69,253,253,75,1.06,-8.96,-0.85,point
-96.95,-7.87,253,252,78,1.33,-9.56,-1.17,point
-94.07,-7.05,253,253,78,1.27,-10.24,-0.73,point
-94.06,-10.00,253,253,77,1.83,-10.38,-0.74,point
-92.93,-9.37,253,253,77,1.71,-10.37,-0.53,point
-92.15,-9.07,252,251,78,1.80,-11.28,-0.42,point
-90.47,-13.43,253,254,75,2.94,-12.33,-0.10,point
-90.10,-17.15,253,253,74,3.94,-12.76,-0.02,point
-89.73,-20.20,253,253,74,4.34,-11.78,0.06,point
-89.19,-16.29,253,252,72,3.23,-11.05,0.16,point
-91.41,-11.31,243,253,73,2.09,-10.47,-0.26,point
-97.83,-9.63,253,253,73,1.56,-9.09,-1.25,point
-102.81,-9.82,253,253,73,1.42,-8.00,-1.82,point
-105.34,-6.62,253,253,74,0.94,-7.78,-2.13,point
-106.82,4.98,253,253,74,-0.78,-8.60,-2.60,point
-109.74,19.36,253,253,74,-2.89,-7.73,-2.77,point
-113.30,33.55,253,253,76,-4.69,-6.50,-2.80,point
-115.90,39.11,253,253,76,-5.56,-6.15,-2.99,point
